Date,2:00,7:00,22:00,5:00,6:00,21:00,18:00,3:00,20:00,4:00,23:00,1:00,19:00,0:00
10/01/23,8,0,14,27,2,9,0,14,5,21,19,14,2,8
10/02/23,8,0,4,13,1,3,0,11,2,9,4,11,3,3
10/03/23,17,0,3,2,4,2,0,12,8,5,1,1,3,1
10/04/23,0,0,4,0,0,7,0,0,5,0,5,0,0,0
10/05/23,9,0,9,8,0,6,2,11,5,8,5,10,4,7
10/06/23,14,0,21,13,9,6,2,22,7,14,16,31,10,23
10/07/23,15,0,7,8,6,23,1,9,7,3,16,13,5,25
10/08/23,11,0,9,12,4,21,6,10,9,13,18,22,11,17
10/09/23,12,0,18,5,2,12,3,9,18,11,13,13,14,5
10/10/23,5,0,11,12,11,5,2,15,18,9,14,8,11,9
10/11/23,14,0,15,14,11,8,2,8,5,20,18,23,4,10
10/12/23,49,0,14,27,36,1,5,44,11,30,15,66,4,18
10/13/23,12,0,24,12,18,21,1,19,14,18,9,15,12,9
10/14/23,11,0,10,10,8,7,1,15,0,16,12,11,4,9
10/15/23,20,0,8,12,11,14,6,14,21,17,18,11,10,21
10/16/23,45,0,23,23,17,7,3,29,14,27,42,55,2,47
10/17/23,35,0,12,20,18,7,5,25,13,37,33,31,24,22
10/18/23,11,0,4,7,39,2,9,6,6,7,7,2,7,7
10/19/23,5,0,8,3,16,5,6,2,11,5,2,7,7,7
10/20/23,8,0,8,8,26,6,5,8,14,10,10,6,4,22
10/21/23,7,0,10,6,32,7,10,6,6,9,13,6,1,2
10/22/23,11,0,9,17,44,4,15,10,11,25,7,15,7,9
10/23/23,20,0,15,56,58,5,5,34,6,14,9,31,6,18
10/24/23,11,0,15,18,19,8,9,11,13,14,20,3,6,9
10/25/23,6,0,14,10,10,11,5,11,6,11,9,9,13,16
10/26/23,7,0,4,14,12,14,7,13,14,8,8,3,6,10
10/27/23,7,0,6,8,10,5,3,12,6,6,7,7,5,7
10/28/23,19,0,12,9,15,5,6,8,10,11,10,6,13,11
10/29/23,11,0,5,5,0,6,7,12,6,8,8,2,5,19
10/30/23,10,0,18,17,18,13,4,13,11,11,13,13,9,9
10/31/23,15,0,9,14,14,13,8,10,7,10,15,9,17,11
11/01/23,0,0,10,0,0,10,12,0,11,0,8,0,9,0
11/02/23,13,7,19,14,5,10,5,11,11,15,9,3,11,12
11/03/23,2,0,3,3,4,7,5,2,7,2,3,1,6,1
11/04/23,8,0,3,16,9,11,7,0,2,18,7,1,10,13
11/05/23,15,0,19,11,5,9,13,9,27,12,42,40,3,12
