season,year,detector,species,site,date,recording_start,recording_length,detection_time,real_detection_time,real_detection_time,rounded_to_half_hour,duplicate,sunset,civil_dusk,nautical_dusk,astronomical_dusk,astronomical_dawn,nautical_dawn,civil_dawn,sunrise,moon_altitude,moon_illumination
Fall,2023,,parulidae,BTECH,10/01/23,19:25:00,4:34:00,0:01:19,19:26:19,10/01/23 19:26:19,19:30:00,no,10/01/23 18:38:17,10/01/23 19:05:32,10/01/23 19:37:12,10/01/23 20:09:12,10/02/23 5:22:09,10/02/23 5:54:11,10/02/23 6:25:55,10/02/23 6:53:12,-5.4,91.2
Fall,2023,,parulidae,BTECH,10/01/23,19:25:00,4:34:00,0:09:14,19:34:13,10/01/23 19:34:13,19:30:00,no,10/01/23 18:38:17,10/01/23 19:05:32,10/01/23 19:37:12,10/01/23 20:09:12,10/02/23 5:22:09,10/02/23 5:54:11,10/02/23 6:25:55,10/02/23 6:53:12,-4.1,91.2
Fall,2023,,savspa,BTECH,10/01/23,19:25:00,4:34:00,1:09:18,20:34:18,10/01/23 20:34:18,20:30:00,no,10/01/23 18:38:17,10/01/23 19:05:32,10/01/23 19:37:12,10/01/23 20:09:12,10/02/23 5:22:09,10/02/23 5:54:11,10/02/23 6:25:55,10/02/23 6:53:12,6.2,90.9
Fall,2023,,yebcuc,BTECH,10/01/23,19:25:00,4:34:00,1:10:32,20:35:32,10/01/23 20:35:32,20:30:00,no,10/01/23 18:38:17,10/01/23 19:05:32,10/01/23 19:37:12,10/01/23 20:09:12,10/02/23 5:22:09,10/02/23 5:54:11,10/02/23 6:25:55,10/02/23 6:53:12,6.5,90.9
Fall,2023,,yebcuc,BTECH,10/01/23,19:25:00,4:34:00,1:22:49,20:47:49,10/01/23 20:47:49,21:00:00,no,10/01/23 18:38:17,10/01/23 19:05:32,10/01/23 19:37:12,10/01/23 20:09:12,10/02/23 5:22:09,10/02/23 5:54:11,10/02/23 6:25:55,10/02/23 6:53:12,8.7,90.8
Fall,2023,,passeriformes,BTECH,10/01/23,19:25:00,4:34:00,1:24:22,20:49:21,10/01/23 20:49:21,21:00:00,no,10/01/23 18:38:17,10/01/23 19:05:32,10/01/23 19:37:12,10/01/23 20:09:12,10/02/23 5:22:09,10/02/23 5:54:11,10/02/23 6:25:55,10/02/23 6:53:12,8.9,90.8
Fall,2023,,parulidae,BTECH,10/01/23,19:25:00,4:34:00,1:31:23,20:56:22,10/01/23 20:56:22,21:00:00,no,10/01/23 18:38:17,10/01/23 19:05:32,10/01/23 19:37:12,10/01/23 20:09:12,10/02/23 5:22:09,10/02/23 5:54:11,10/02/23 6:25:55,10/02/23 6:53:12,10.2,90.8
Fall,2023,,cups,BTECH,10/01/23,19:25:00,4:34:00,1:39:37,21:04:37,10/01/23 21:04:37,21:00:00,no,10/01/23 18:38:17,10/01/23 19:05:32,10/01/23 19:37:12,10/01/23 20:09:12,10/02/23 5:22:09,10/02/23 5:54:11,10/02/23 6:25:55,10/02/23 6:53:12,11.7,90.8
Fall,2023,,chispa,BTECH,10/01/23,19:25:00,4:34:00,1:42:09,21:07:09,10/01/23 21:07:09,21:00:00,no,10/01/23 18:38:17,10/01/23 19:05:32,10/01/23 19:37:12,10/01/23 20:09:12,10/02/23 5:22:09,10/02/23 5:54:11,10/02/23 6:25:55,10/02/23 6:53:12,12.2,90.8
Fall,2023,,savspa,BTECH,10/01/23,19:25:00,4:34:00,1:47:57,21:12:57,10/01/23 21:12:57,21:00:00,no,10/01/23 18:38:17,10/01/23 19:05:32,10/01/23 19:37:12,10/01/23 20:09:12,10/02/23 5:22:09,10/02/23 5:54:11,10/02/23 6:25:55,10/02/23 6:53:12,13.2,90.7
