Date,6:00,1:00,18:00,0:00,2:00,19:00,20:00,3:00,7:00,21:00,4:00,22:00,23:00,5:00
10/01/23,4,26,0,58,46,10,14,27,0,30,48,21,42,27
10/02/23,3,55,0,47,45,11,4,40,0,5,34,13,28,17
10/03/23,0,0,0,0,0,9,22,0,0,6,0,22,14,0
10/04/23,16,12,0,8,31,1,6,12,0,1,22,4,12,5
10/05/23,0,6,0,1,5,7,8,3,0,20,1,53,7,0
10/06/23,5,11,0,28,35,0,16,39,0,17,15,33,20,6
10/07/23,21,24,0,37,16,5,19,10,0,23,12,44,41,6
10/08/23,0,6,0,4,7,1,8,14,0,7,8,8,12,1
10/09/23,3,6,0,4,12,2,3,3,0,15,9,5,11,12
10/10/23,1,28,1,7,54,1,3,24,0,2,18,6,10,17
10/11/23,29,25,0,18,25,3,11,6,0,12,19,3,4,11
10/12/23,57,26,0,16,41,6,5,74,0,35,65,10,15,121
10/13/23,6,8,0,7,6,6,5,5,0,3,19,2,9,24
10/14/23,8,14,2,11,23,3,5,14,0,9,6,17,6,9
10/15/23,7,62,0,48,41,1,9,15,0,8,15,18,34,9
10/16/23,6,13,0,18,18,1,0,25,0,7,12,11,15,10
10/17/23,0,0,0,0,0,3,3,0,0,12,0,2,9,0
10/18/23,2,8,5,6,3,4,2,18,0,2,3,10,4,10
10/19/23,0,0,6,0,0,6,3,0,0,6,0,4,5,0
10/20/23,7,10,6,38,10,3,21,33,0,47,7,113,46,4
10/21/23,5,1,1,4,12,9,18,8,0,5,7,7,1,3
10/22/23,23,21,1,7,37,0,4,50,0,6,41,7,20,32
10/23/23,57,15,0,5,29,2,1,50,0,7,27,5,3,50
10/24/23,5,19,9,4,8,6,14,10,0,5,4,7,5,6
10/25/23,11,6,12,1,17,2,17,8,0,8,8,0,6,2
10/26/23,2,19,6,12,28,1,24,30,0,8,3,24,14,9
10/27/23,1,7,1,34,35,1,3,51,0,0,27,21,2,31
10/28/23,0,0,0,0,0,26,12,0,0,79,0,5,23,0
10/29/23,8,13,0,11,13,0,0,13,0,0,13,0,0,8
10/30/23,8,5,2,0,3,9,3,7,0,0,5,5,8,4
10/31/23,0,0,5,0,0,4,8,0,0,8,0,4,10,0
11/01/23,1,7,1,8,4,5,3,9,1,6,5,9,7,7
11/02/23,1,4,3,3,1,0,3,1,7,3,5,3,3,4
11/03/23,4,9,3,2,1,4,1,10,2,4,0,1,0,8
11/04/23,8,3,4,5,9,11,12,8,0,11,16,4,4,15
11/05/23,0,3,4,5,19,7,8,8,0,4,13,15,9,4
