season,year,detector,species,site,date,recording_start,recording_length,detection_time,real_detection_time,real_detection_time,rounded_to_half_hour,duplicate,sunset,civil_dusk,nautical_dusk,astronomical_dusk,astronomical_dawn,nautical_dawn,civil_dawn,sunrise,moon_altitude,moon_illumination
Fall,2023,,parulidae,SITHS,10/01/23,19:04:00,4:55:00,0:00:15,19:04:15,10/01/23 19:04:15,19:00:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,-9.2,91.3
Fall,2023,,passeriformes,SITHS,10/01/23,19:04:00,4:55:00,0:00:15,19:04:15,10/01/23 19:04:15,19:00:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,-9.2,91.3
Fall,2023,,passeriformes,SITHS,10/01/23,19:04:00,4:55:00,0:01:21,19:05:20,10/01/23 19:05:20,19:00:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,-9,91.3
Fall,2023,,passeriformes,SITHS,10/01/23,19:04:00,4:55:00,0:01:37,19:05:37,10/01/23 19:05:37,19:00:00,yes,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,-8.9,91.3
Fall,2023,,dbup,SITHS,10/01/23,19:04:00,4:55:00,0:01:53,19:05:53,10/01/23 19:05:53,19:00:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,-8.9,91.3
Fall,2023,,passeriformes,SITHS,10/01/23,19:04:00,4:55:00,0:06:32,19:10:31,10/01/23 19:10:31,19:00:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,-8.2,91.3
Fall,2023,,passeriformes,SITHS,10/01/23,19:04:00,4:55:00,0:07:21,19:11:21,10/01/23 19:11:21,19:00:00,yes,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,-8,91.3
Fall,2023,,passeriformes,SITHS,10/01/23,19:04:00,4:55:00,0:07:54,19:11:54,10/01/23 19:11:54,19:00:00,yes,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,-7.9,91.3
Fall,2023,,cuculidae,SITHS,10/01/23,19:04:00,4:55:00,0:46:48,19:50:47,10/01/23 19:50:47,20:00:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,-1.5,91.1
Fall,2023,,dbup,SITHS,10/01/23,19:04:00,4:55:00,0:48:55,19:52:55,10/01/23 19:52:55,20:00:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,-1.1,91.1
Fall,2023,,savspa,SITHS,10/01/23,19:04:00,4:55:00,0:56:38,20:00:37,10/01/23 20:00:37,20:00:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,0.2,91.1
Fall,2023,,parulidae,SITHS,10/01/23,19:04:00,4:55:00,1:01:01,20:05:00,10/01/23 20:05:00,20:00:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,1,91
Fall,2023,,bzwa,SITHS,10/01/23,19:04:00,4:55:00,1:01:01,20:05:01,10/01/23 20:05:01,20:00:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,1,91
Fall,2023,,cuculidae,SITHS,10/01/23,19:04:00,4:55:00,1:03:08,20:07:07,10/01/23 20:07:07,20:00:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,1.3,91
Fall,2023,,cuculidae,SITHS,10/01/23,19:04:00,4:55:00,1:03:12,20:07:12,10/01/23 20:07:12,20:00:00,yes,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,1.3,91
Fall,2023,,parulidae,SITHS,10/01/23,19:04:00,4:55:00,1:22:28,20:26:27,10/01/23 20:26:27,20:30:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,4.7,90.9
Fall,2023,,amered,SITHS,10/01/23,19:04:00,4:55:00,1:29:27,20:33:26,10/01/23 20:33:26,20:30:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,6,90.9
Fall,2023,,passeriformes,SITHS,10/01/23,19:04:00,4:55:00,1:29:53,20:33:53,10/01/23 20:33:53,20:30:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,6,90.9
Fall,2023,,amered,SITHS,10/01/23,19:04:00,4:55:00,1:30:05,20:34:05,10/01/23 20:34:05,20:30:00,yes,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,6.1,90.9
Fall,2023,,zeep,SITHS,10/01/23,19:04:00,4:55:00,1:33:00,20:36:59,10/01/23 20:36:59,20:30:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,6.6,90.9
Fall,2023,,zeep,SITHS,10/01/23,19:04:00,4:55:00,1:39:34,20:43:34,10/01/23 20:43:34,20:30:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,7.8,90.9
Fall,2023,,passeriformes,SITHS,10/01/23,19:04:00,4:55:00,1:39:40,20:43:40,10/01/23 20:43:40,20:30:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,7.8,90.9
Fall,2023,,zeep,SITHS,10/01/23,19:04:00,4:55:00,1:39:41,20:43:40,10/01/23 20:43:40,20:30:00,yes,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,7.8,90.9
Fall,2023,,zeep,SITHS,10/01/23,19:04:00,4:55:00,1:53:38,20:57:37,10/01/23 20:57:37,21:00:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,10.3,90.8
Fall,2023,,passeriformes,SITHS,10/01/23,19:04:00,4:55:00,2:06:09,21:10:08,10/01/23 21:10:08,21:00:00,no,10/01/23 18:38:53,10/01/23 19:06:05,10/01/23 19:37:42,10/01/23 20:09:38,10/02/23 5:22:50,10/02/23 5:54:48,10/02/23 6:26:29,10/02/23 6:53:43,12.6,90.7
