season,year,detector,species,site,date,recording_start,recording_length,detection_time,real_detection_time,real_detection_time,rounded_to_half_hour,duplicate,sunset,civil_dusk,nautical_dusk,astronomical_dusk,astronomical_dawn,nautical_dawn,civil_dawn,sunrise,moon_altitude,moon_illumination
Fall,2023,,parulidae,TVILLE,10/01/23,0:00:00,6:33:00,0:07:45,0:07:45,10/02/23 0:07:45,0:00:00,no,10/01/23 18:39:12,10/01/23 19:06:23,10/01/23 19:37:59,10/01/23 20:09:53,10/02/23 5:23:11,10/02/23 5:55:08,10/02/23 6:26:47,10/02/23 6:54:01,45.4,89.9
Fall,2023,,passeriformes,TVILLE,10/01/23,0:00:00,6:33:00,0:15:22,0:15:22,10/02/23 0:15:22,0:30:00,no,10/01/23 18:39:12,10/01/23 19:06:23,10/01/23 19:37:59,10/01/23 20:09:53,10/02/23 5:23:11,10/02/23 5:55:08,10/02/23 6:26:47,10/02/23 6:54:01,46.8,89.9
Fall,2023,,whtspa,TVILLE,10/01/23,0:00:00,6:33:00,0:18:56,0:18:55,10/02/23 0:18:55,0:30:00,no,10/01/23 18:39:12,10/01/23 19:06:23,10/01/23 19:37:59,10/01/23 20:09:53,10/02/23 5:23:11,10/02/23 5:55:08,10/02/23 6:26:47,10/02/23 6:54:01,47.4,89.9
Fall,2023,,passeriformes,TVILLE,10/01/23,0:00:00,6:33:00,0:29:17,0:29:17,10/02/23 0:29:17,0:30:00,no,10/01/23 18:39:12,10/01/23 19:06:23,10/01/23 19:37:59,10/01/23 20:09:53,10/02/23 5:23:11,10/02/23 5:55:08,10/02/23 6:26:47,10/02/23 6:54:01,49.2,89.8
Fall,2023,,savspa,TVILLE,10/01/23,0:00:00,6:33:00,0:35:07,0:35:07,10/02/23 0:35:07,0:30:00,no,10/01/23 18:39:12,10/01/23 19:06:23,10/01/23 19:37:59,10/01/23 20:09:53,10/02/23 5:23:11,10/02/23 5:55:08,10/02/23 6:26:47,10/02/23 6:54:01,50.2,89.8
Fall,2023,,ardeidae,TVILLE,10/01/23,0:00:00,6:33:00,1:10:52,1:10:52,10/02/23 1:10:52,1:00:00,no,10/01/23 18:39:12,10/01/23 19:06:23,10/01/23 19:37:59,10/01/23 20:09:53,10/02/23 5:23:11,10/02/23 5:55:08,10/02/23 6:26:47,10/02/23 6:54:01,56.2,89.6
Fall,2023,,ardeidae,TVILLE,10/01/23,0:00:00,6:33:00,1:15:20,1:15:19,10/02/23 1:15:19,1:30:00,no,10/01/23 18:39:12,10/01/23 19:06:23,10/01/23 19:37:59,10/01/23 20:09:53,10/02/23 5:23:11,10/02/23 5:55:08,10/02/23 6:26:47,10/02/23 6:54:01,56.9,89.6
Fall,2023,,zeep,TVILLE,10/01/23,0:00:00,6:33:00,1:32:04,1:32:03,10/02/23 1:32:03,1:30:00,no,10/01/23 18:39:12,10/01/23 19:06:23,10/01/23 19:37:59,10/01/23 20:09:53,10/02/23 5:23:11,10/02/23 5:55:08,10/02/23 6:26:47,10/02/23 6:54:01,59.5,89.5
Fall,2023,,whtspa,TVILLE,10/01/23,0:00:00,6:33:00,1:33:05,1:33:04,10/02/23 1:33:04,1:30:00,no,10/01/23 18:39:12,10/01/23 19:06:23,10/01/23 19:37:59,10/01/23 20:09:53,10/02/23 5:23:11,10/02/23 5:55:08,10/02/23 6:26:47,10/02/23 6:54:01,59.6,89.5
Fall,2023,,parulidae,TVILLE,10/01/23,0:00:00,6:33:00,1:49:49,1:49:48,10/02/23 1:49:48,2:00:00,no,10/01/23 18:39:12,10/01/23 19:06:23,10/01/23 19:37:59,10/01/23 20:09:53,10/02/23 5:23:11,10/02/23 5:55:08,10/02/23 6:26:47,10/02/23 6:54:01,61.9,89.4
Fall,2023,,passeriformes,TVILLE,10/01/23,0:00:00,6:33:00,1:49:49,1:49:48,10/02/23 1:49:48,2:00:00,no,10/01/23 18:39:12,10/01/23 19:06:23,10/01/23 19:37:59,10/01/23 20:09:53,10/02/23 5:23:11,10/02/23 5:55:08,10/02/23 6:26:47,10/02/23 6:54:01,61.9,89.4
Fall,2023,,dewa,TVILLE,10/01/23,0:00:00,6:33:00,1:56:49,1:56:48,10/02/23 1:56:48,2:00:00,no,10/01/23 18:39:12,10/01/23 19:06:23,10/01/23 19:37:59,10/01/23 20:09:53,10/02/23 5:23:11,10/02/23 5:55:08,10/02/23 6:26:47,10/02/23 6:54:01,62.8,89.4
Fall,2023,,norpar,TVILLE,10/01/23,0:00:00,6:33:00,1:56:49,1:56:49,10/02/23 1:56:49,2:00:00,no,10/01/23 18:39:12,10/01/23 19:06:23,10/01/23 19:37:59,10/01/23 20:09:53,10/02/23 5:23:11,10/02/23 5:55:08,10/02/23 6:26:47,10/02/23 6:54:01,62.8,89.4
