Date,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12
10/01/23,0,0,0,0,5,8,8,4,2,14,4,0
10/02/23,9,6,4,6,8,0,0,0,0,0,0,0
10/03/23,0,0,0,0,8,1,6,6,5,6,12,0
10/04/23,19,28,13,8,30,0,3,1,6,1,3,0
10/05/23,13,21,39,12,3,0,0,0,0,0,0,0
10/06/23,4,27,47,38,65,21,16,17,5,9,12,0
10/07/23,2,22,9,4,10,4,2,2,5,2,2,0
10/08/23,0,2,1,1,2,1,0,0,0,0,0,0
10/09/23,1,0,0,0,0,0,0,0,0,0,0,0
10/10/23,1,0,0,0,0,0,0,0,0,0,0,0
10/12/23,6,8,3,1,5,0,0,0,0,0,0,0
10/13/23,4,7,6,4,21,9,8,4,7,8,6,0
10/14/23,8,4,2,4,11,5,4,5,4,5,2,0
10/15/23,3,5,5,3,18,18,13,7,7,2,7,0
10/16/23,9,8,3,2,15,10,5,7,6,7,2,0
10/17/23,4,10,1,3,11,10,5,7,2,4,11,0
10/18/23,9,5,0,2,7,2,7,2,1,1,2,0
10/19/23,3,5,7,4,3,0,1,4,4,4,4,0
10/20/23,2,16,15,33,33,13,10,4,8,5,1,0
10/21/23,14,1,6,4,7,8,3,9,2,4,0,0
10/22/23,4,2,1,3,17,10,5,6,10,7,3,0
10/23/23,3,4,4,4,15,12,20,31,71,116,206,0
10/24/23,3,11,11,15,4,8,4,3,7,1,2,0
10/25/23,10,6,1,1,6,6,5,7,4,0,1,0
10/26/23,8,4,7,3,8,0,0,0,0,0,0,0
10/29/23,4,5,6,4,11,2,0,0,0,0,0,0
10/30/23,5,6,10,4,15,16,3,3,1,2,13,80
10/31/23,0,0,0,0,15,7,4,10,10,4,4,14
11/01/23,25,4,3,10,10,9,6,1,0,1,77,55
11/02/23,4,4,1,7,4,4,1,1,2,3,43,56
11/03/23,4,6,7,8,2,4,1,0,3,0,23,34
11/04/23,5,3,1,3,3,1,9,9,5,0,0,0
11/05/23,11,11,2,12,11,2,0,0,0,0,0,0
